                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.796,                 18.166,                 1.5731,                      0,                      0,                      0,                      0,                   4.44,                 5.8861,                 1.1595,                 0.0829,                 0.0019,                 0.0019
                      1,                 4.4445,                 5.2831,                 1.2238,                      0,                      0,                      0,                      0,                 4.2083,                  5.422,                 1.1762,               0.064861,              0.0038614,              0.0038614
                      2,                 4.4052,                 4.1885,                 1.1384,                0.00994,                0.13889,                0.00726,                0.00084,                 4.5874,                 3.7401,                 1.2746,               0.046783,              0.0057832,              0.0057832
                      3,                 4.2969,                 3.6852,                 1.1391,                0.01185,                0.36111,                 0.0539,                0.01808,                 4.2589,                 3.7509,                 1.1175,               0.028665,              0.0076654,              0.0076654
                      4,                 4.3595,                 3.6419,                 1.1589,                0.01346,                0.27778,                0.01401,                0.00244,                  4.259,                 3.8108,                 1.1463,               0.010508,               0.009508,               0.009508
                      5,                 4.3809,                  3.564,                 1.1348,                0.01003,                0.19444,                0.00842,                0.00175,                 4.8339,                 3.4142,                 1.2658,               0.009505,               0.009505,               0.009505
                      6,                 4.1119,                 3.1842,                 1.0926,                0.04222,                0.44444,                0.06958,                0.01149,                  4.203,                 2.9926,                 1.0824,               0.009505,               0.009505,               0.009505
                      7,                 4.1339,                 3.1436,                  1.123,                0.21052,                0.27778,                0.10308,                0.01936,                 3.6454,                 2.7862,                 1.0272,               0.009406,               0.009406,               0.009406
                      8,                 4.0893,                 3.4891,                 1.1106,                0.14435,                0.05556,                0.05367,                0.01254,                 3.5874,                 2.8911,                 1.0153,               0.009307,               0.009307,               0.009307
                      9,                 4.0803,                 3.2309,                 1.1017,                0.14792,                0.22222,                0.06025,                0.00909,                 4.1271,                 2.5248,                 1.0685,               0.009208,               0.009208,               0.009208
                     10,                 4.0477,                  3.095,                 1.0984,                0.05047,                0.44444,                0.07317,                0.01499,                 3.5387,                 3.0117,                 1.0124,               0.009109,               0.009109,               0.009109
                     11,                 4.0312,                 3.0715,                 1.0477,                0.18063,                   0.25,                0.09772,                0.01688,                 3.8495,                 2.4202,                 1.0385,                0.00901,                0.00901,                0.00901
                     12,                 3.9855,                 2.9785,                 1.0956,                0.49929,                0.16667,                0.16533,                  0.032,                 3.6189,                 2.4732,                 1.0148,               0.008911,               0.008911,               0.008911
                     13,                 4.0702,                  2.902,                 1.0805,                0.21136,                0.33333,                0.19392,                0.03968,                 3.6342,                 2.4417,                 1.0162,               0.008812,               0.008812,               0.008812
                     14,                 3.9242,                 2.7486,                 1.0614,                0.13324,                0.22222,                0.07752,                0.00999,                 4.3868,                 2.3807,                 1.0679,               0.008713,               0.008713,               0.008713
                     15,                 3.8257,                 2.6606,                  1.039,                0.25984,                0.27778,                0.19886,                0.03729,                 3.5836,                 2.1745,                0.99786,               0.008614,               0.008614,               0.008614
                     16,                 3.9819,                 2.7475,                 1.0837,                0.20692,                0.33333,                0.16837,                0.04241,                 3.4946,                 2.0546,                0.99882,               0.008515,               0.008515,               0.008515
                     17,                 4.0411,                 2.8236,                 1.0914,                0.44212,                0.30829,                0.28912,                0.06347,                 3.2478,                 2.0075,                0.97443,               0.008416,               0.008416,               0.008416
                     18,                 4.0555,                 2.5519,                 1.0798,                0.32843,                0.29901,                0.23426,                0.03835,                 3.5767,                 1.9904,                 1.0019,               0.008317,               0.008317,               0.008317
                     19,                   3.88,                 2.6958,                 1.0753,                0.38356,                0.19444,                0.22502,                0.03901,                 3.5653,                 2.2499,                0.99444,               0.008218,               0.008218,               0.008218
                     20,                 3.9437,                 2.7641,                 1.0801,                0.36178,                   0.25,                0.25422,                0.05408,                 3.4944,                 2.0413,                 1.0142,               0.008119,               0.008119,               0.008119
                     21,                 3.9418,                 2.7118,                 1.0339,                0.28267,                0.28474,                0.16654,                 0.0453,                 3.5155,                  1.967,                0.99062,                0.00802,                0.00802,                0.00802
                     22,                 3.6784,                 2.4825,                 1.0101,                0.32787,                0.47222,                0.28038,                0.05356,                 3.3359,                 2.2511,                0.97327,               0.007921,               0.007921,               0.007921
                     23,                 3.7727,                 2.5936,                 1.0322,                0.31344,                0.36788,                0.17418,                0.02809,                 3.5847,                  2.009,                0.97348,               0.007822,               0.007822,               0.007822
                     24,                 4.0627,                 2.6396,                 1.0495,                 0.2819,                   0.25,                0.19557,                0.03815,                 3.5178,                 2.0031,                0.97455,               0.007723,               0.007723,               0.007723
                     25,                  3.765,                 2.3997,                 1.0412,                0.17017,                0.11111,                0.12812,                0.02826,                 3.5495,                 2.0809,                0.98308,               0.007624,               0.007624,               0.007624
                     26,                   3.99,                 2.4856,                 1.0418,                0.32685,                0.33333,                0.21557,                 0.0461,                 3.1941,                 1.9528,                0.96241,               0.007525,               0.007525,               0.007525
                     27,                  3.774,                 2.4129,                  1.047,                 0.3699,                0.33333,                0.21112,                0.03995,                 3.4561,                 1.7903,                0.98233,               0.007426,               0.007426,               0.007426
                     28,                 3.8171,                 2.4721,                 1.0258,                0.34257,                0.33333,                0.23183,                0.04593,                 3.2735,                 1.8814,                0.96816,               0.007327,               0.007327,               0.007327
                     29,                 3.7677,                 2.4059,                 1.0621,                0.33126,                0.33333,                0.18769,                0.05764,                 3.2189,                 1.9546,                0.96511,               0.007228,               0.007228,               0.007228
                     30,                 3.9538,                  2.439,                 1.0195,                0.47556,                0.44444,                0.29326,                0.07602,                 2.9408,                 1.9581,                0.95246,               0.007129,               0.007129,               0.007129
                     31,                 3.7492,                 2.4593,                 1.0505,                 0.2188,                0.13889,                0.12947,                0.02462,                 3.8192,                 2.0799,                 1.0185,                0.00703,                0.00703,                0.00703
                     32,                 3.8083,                 2.4638,                 1.0417,                0.31927,                0.27778,                0.18647,                 0.0424,                 3.5658,                 2.1935,                0.99716,               0.006931,               0.006931,               0.006931
                     33,                 3.6473,                 2.3058,                 1.0004,                0.38719,                0.41667,                0.35402,                0.07693,                 3.3704,                 1.7163,                0.98059,               0.006832,               0.006832,               0.006832
                     34,                 3.7341,                 2.3334,                 1.0436,                0.27458,                0.27778,                0.23727,                0.04585,                 3.4114,                 1.8357,                0.97432,               0.006733,               0.006733,               0.006733
                     35,                 3.4405,                 2.2273,                0.97044,                0.20633,                   0.25,                0.13779,                 0.0333,                 3.5973,                 1.8483,                0.99073,               0.006634,               0.006634,               0.006634
                     36,                 3.5083,                 2.2486,                0.95372,                0.34628,                0.38889,                0.23969,                0.05246,                 3.5562,                 2.0219,                0.98892,               0.006535,               0.006535,               0.006535
                     37,                 3.7201,                 2.2605,                 1.0247,                0.35253,                0.22222,                0.27238,                0.08583,                 3.2061,                 1.8164,                0.97675,               0.006436,               0.006436,               0.006436
                     38,                 3.7614,                 2.3504,                0.99825,                0.22929,                0.13889,                0.19841,                0.06266,                 2.8306,                 2.0623,                0.95726,               0.006337,               0.006337,               0.006337
                     39,                 3.6321,                 2.3566,                 1.0291,                0.40736,                0.44444,                0.32037,                0.08131,                 3.0708,                 1.6834,                0.94137,               0.006238,               0.006238,               0.006238
                     40,                 3.6637,                 2.2316,                 1.0144,                0.44838,                0.44444,                 0.3485,                0.06742,                 3.2247,                 1.6353,                 0.9551,               0.006139,               0.006139,               0.006139
                     41,                 3.6306,                 2.1818,                 1.0179,                0.40331,                0.36111,                0.27913,                0.06029,                  3.404,                 1.6009,                0.98226,                0.00604,                0.00604,                0.00604
                     42,                 3.6807,                  2.205,                 1.0228,                0.23943,                0.22222,                 0.2059,                0.05627,                 3.4025,                 1.7383,                0.97894,               0.005941,               0.005941,               0.005941
                     43,                 3.4945,                 2.0942,                0.96527,                0.39528,                0.38889,                0.36817,                0.07354,                 3.1206,                 1.6029,                0.95416,               0.005842,               0.005842,               0.005842
                     44,                 3.7952,                 2.2329,                0.99722,                0.33945,                0.41402,                0.23832,                 0.0423,                 3.4805,                 1.5943,                0.96978,               0.005743,               0.005743,               0.005743
                     45,                 3.5556,                 2.1539,                0.98738,                0.32501,                0.36111,                0.21844,                0.04102,                 3.4091,                  1.638,                0.96571,               0.005644,               0.005644,               0.005644
                     46,                 3.6753,                 2.3701,                 1.0166,                0.38557,                0.36111,                0.29324,                0.05175,                 3.3546,                 1.7374,                0.96702,               0.005545,               0.005545,               0.005545
                     47,                 3.6442,                 2.1052,                  1.007,                0.26263,                0.36111,                0.17692,                0.03383,                 3.6148,                 1.7396,                0.97337,               0.005446,               0.005446,               0.005446
                     48,                 3.7754,                 2.2251,                0.99339,                0.29579,                0.36111,                0.22134,                0.03922,                 3.5039,                 1.6975,                0.98745,               0.005347,               0.005347,               0.005347
                     49,                 3.5165,                 2.1074,                 1.0129,                0.45921,                0.47222,                 0.3778,                0.06829,                 3.1812,                 1.6809,                0.95776,               0.005248,               0.005248,               0.005248
                     50,                 3.5186,                 2.1133,                 1.0113,                0.51555,                0.47222,                0.41684,                0.07672,                 3.2596,                 1.6376,                0.96904,               0.005149,               0.005149,               0.005149
                     51,                 3.3798,                 2.1316,                0.96571,                0.40803,                0.44444,                0.33076,                0.07832,                 3.1139,                 1.6917,                0.95759,                0.00505,                0.00505,                0.00505
                     52,                 3.5526,                 2.1661,                0.97658,                0.34606,                0.36111,                0.23128,                0.05875,                 3.3437,                 1.6377,                0.97503,               0.004951,               0.004951,               0.004951
                     53,                 3.4822,                  2.212,                0.95073,                0.42606,                0.33333,                0.29779,                0.07208,                 3.3224,                 1.6112,                0.97063,               0.004852,               0.004852,               0.004852
                     54,                 3.4496,                 2.2199,                0.98914,                 0.4154,                0.36111,                0.24909,                0.05467,                  3.387,                 1.6701,                 0.9632,               0.004753,               0.004753,               0.004753
                     55,                 3.6403,                 2.1218,                0.99014,                 0.4626,                0.22222,                0.20919,                0.05955,                 3.4422,                 1.6815,                0.97321,               0.004654,               0.004654,               0.004654
                     56,                  3.538,                  2.157,                0.99543,                0.37906,                0.28851,                0.23134,                0.04138,                 3.4783,                 1.7773,                0.96879,               0.004555,               0.004555,               0.004555
                     57,                  3.589,                 2.0706,                0.95633,                0.29003,                0.33333,                0.20485,                0.04347,                 3.5184,                 1.7057,                0.95984,               0.004456,               0.004456,               0.004456
                     58,                  3.521,                 2.0953,                0.97421,                 0.5698,                0.44444,                 0.4479,                 0.0791,                 3.1979,                  1.615,                0.94336,               0.004357,               0.004357,               0.004357
                     59,                 3.5845,                 2.0986,                0.98469,                 0.4091,                0.30556,                0.24582,                0.05315,                 3.2079,                 1.6387,                0.94747,               0.004258,               0.004258,               0.004258
                     60,                 3.4859,                 2.1896,                 1.0034,                0.68424,                0.42153,                0.45038,                0.07844,                 3.1451,                 1.7087,                0.94491,               0.004159,               0.004159,               0.004159
                     61,                 3.5438,                 2.0334,                0.96907,                 0.3101,                0.33333,                 0.1887,                0.03836,                 3.1847,                 1.6792,                0.95133,                0.00406,                0.00406,                0.00406
                     62,                 3.6612,                 2.1364,                0.99272,                0.36948,                0.30556,                0.30735,                0.06788,                  3.136,                 1.7236,                0.94994,               0.003961,               0.003961,               0.003961
                     63,                 3.3693,                 2.0781,                0.97952,                0.39373,                0.41667,                0.35137,                0.06913,                 3.2293,                   1.66,                0.96498,               0.003862,               0.003862,               0.003862
                     64,                 3.5342,                 2.1028,                0.97554,                0.38915,                0.38932,                0.29266,                0.05531,                 3.2175,                 1.6003,                0.97139,               0.003763,               0.003763,               0.003763
                     65,                 3.2422,                 2.0671,                0.92698,                0.53019,                0.44444,                0.37318,                 0.0621,                 3.2969,                 1.5555,                0.96716,               0.003664,               0.003664,               0.003664
                     66,                 3.4345,                 2.0756,                0.94885,                0.43286,                0.36043,                0.33348,                0.08029,                 3.2821,                 1.5579,                0.95634,               0.003565,               0.003565,               0.003565
                     67,                 3.4535,                 2.0905,                0.97872,                0.45039,                0.40989,                0.33057,                0.07566,                 3.2942,                 1.5136,                 0.9566,               0.003466,               0.003466,               0.003466
                     68,                 3.6871,                 2.1174,                 0.9803,                0.55372,                0.41667,                0.32339,                0.07703,                 3.2769,                 1.5802,                0.95476,               0.003367,               0.003367,               0.003367
                     69,                 3.4166,                 2.0232,                0.97091,                0.56539,                0.41667,                0.39774,                0.06874,                 3.2771,                 1.4864,                0.94827,               0.003268,               0.003268,               0.003268
                     70,                 3.3966,                 1.9932,                 0.9784,                0.39603,                0.38889,                0.31551,                0.05351,                 3.4528,                 1.4912,                0.96458,               0.003169,               0.003169,               0.003169
                     71,                 3.4705,                 2.0707,                0.99515,                0.46645,                0.41667,                0.32909,                0.06197,                 3.3344,                 1.4713,                0.95389,                0.00307,                0.00307,                0.00307
                     72,                 3.4008,                 2.0128,                 0.9888,                 0.4989,                0.35958,                0.26741,                0.05253,                 3.4214,                 1.4723,                0.95852,               0.002971,               0.002971,               0.002971
                     73,                 3.2888,                 1.9557,                0.96817,                0.43129,                0.36111,                0.27784,                0.06003,                 3.3913,                 1.4546,                0.95553,               0.002872,               0.002872,               0.002872
                     74,                 3.2172,                 1.9698,                0.93425,                0.40436,                0.47145,                0.34024,                0.07794,                 3.3023,                 1.4405,                0.94879,               0.002773,               0.002773,               0.002773
                     75,                 3.4778,                  2.055,                 0.9521,                0.56981,                0.47222,                 0.4564,                0.08762,                 3.2217,                 1.4429,                 0.9437,               0.002674,               0.002674,               0.002674
                     76,                 3.3811,                 1.9646,                0.96406,                0.49985,                0.44444,                0.34637,                0.06687,                 3.1865,                 1.4788,                0.95022,               0.002575,               0.002575,               0.002575
                     77,                  3.322,                 1.9868,                0.94428,                0.50351,                0.47222,                0.35074,                0.07184,                 3.1072,                 1.4757,                0.94197,               0.002476,               0.002476,               0.002476
                     78,                 3.5117,                 2.0165,                0.96634,                0.45804,                0.52778,                0.36125,                0.07273,                 3.0769,                 1.5435,                0.94388,               0.002377,               0.002377,               0.002377
                     79,                 3.3403,                  2.058,                0.96599,                0.44869,                0.38889,                0.36495,                0.08808,                 2.9726,                 1.5222,                0.94221,               0.002278,               0.002278,               0.002278
                     80,                  3.326,                 1.9461,                0.95512,                0.50211,                 0.3923,                0.39384,                0.08606,                 3.0738,                 1.4979,                0.94239,               0.002179,               0.002179,               0.002179
                     81,                 3.1718,                 1.9943,                0.92413,                0.49023,                0.42761,                0.36718,                0.08419,                  2.989,                 1.4941,                0.93889,                0.00208,                0.00208,                0.00208
                     82,                 3.3533,                 2.0242,                0.95403,                0.48276,                0.41667,                0.32626,                0.08001,                 3.0785,                 1.5108,                0.94614,               0.001981,               0.001981,               0.001981
                     83,                 3.3378,                  1.898,                0.94804,                0.45201,                0.41667,                0.36842,                0.07271,                 3.1846,                 1.5238,                0.95322,               0.001882,               0.001882,               0.001882
                     84,                 3.2694,                 1.9514,                0.96353,                0.56587,                0.44444,                0.41768,                 0.0913,                 3.0938,                 1.4269,                0.94837,               0.001783,               0.001783,               0.001783
                     85,                 3.4039,                 2.0565,                0.98009,                0.63727,                0.38889,                0.41652,                0.09937,                 3.0699,                 1.4443,                0.94688,               0.001684,               0.001684,               0.001684
                     86,                 3.2531,                 1.9529,                0.93461,                0.67117,                0.34046,                0.35595,                0.08482,                 3.1788,                 1.4285,                0.94603,               0.001585,               0.001585,               0.001585
                     87,                 3.2738,                 1.8995,                0.97157,                0.48058,                0.41667,                0.32316,                0.09265,                 3.0326,                 1.3941,                0.93826,               0.001486,               0.001486,               0.001486
                     88,                 3.3417,                   1.88,                 0.9526,                0.47216,                0.44444,                 0.3476,                0.07771,                 3.1573,                 1.4009,                0.93827,               0.001387,               0.001387,               0.001387
                     89,                 3.2751,                 1.9206,                 0.9427,                0.45583,                0.47222,                0.37237,                0.07572,                 3.1954,                 1.4162,                0.93928,               0.001288,               0.001288,               0.001288
                     90,                 3.3879,                 1.9222,                0.96366,                0.43151,                0.38889,                0.27749,                0.06629,                 3.3266,                 1.4194,                0.95169,               0.001189,               0.001189,               0.001189
                     91,                 3.3568,                 1.8261,                0.93629,                0.34591,                0.36111,                0.25763,                0.06079,                 3.2171,                 1.3799,                0.94036,                0.00109,                0.00109,                0.00109
                     92,                 3.2174,                   1.88,                0.92248,                0.38219,                0.41667,                0.27217,                0.05783,                 3.2027,                 1.3895,                0.93989,               0.000991,               0.000991,               0.000991
                     93,                 3.3177,                 1.8419,                0.92449,                0.38181,                0.41667,                0.27615,                0.05461,                 3.3619,                 1.4614,                0.95385,               0.000892,               0.000892,               0.000892
                     94,                 3.2942,                 1.8935,                0.95131,                0.41206,                0.52778,                 0.3528,                0.06491,                 3.2597,                 1.4673,                0.94745,               0.000793,               0.000793,               0.000793
                     95,                 3.3609,                 1.8517,                0.94619,                 0.3777,                0.44444,                0.27038,                0.06034,                 3.2612,                 1.4487,                0.94632,               0.000694,               0.000694,               0.000694
                     96,                 3.2845,                 1.8324,                0.93892,                0.46524,                0.36111,                0.26646,                0.06216,                  3.309,                 1.4513,                0.94806,               0.000595,               0.000595,               0.000595
                     97,                 3.2767,                  1.898,                0.98964,                0.42569,                0.36111,                0.25649,                0.06087,                 3.3494,                  1.456,                0.95029,               0.000496,               0.000496,               0.000496
                     98,                 3.2527,                 1.8181,                0.96236,                0.41498,                0.36111,                0.23422,                0.05103,                 3.3593,                 1.4715,                0.95352,               0.000397,               0.000397,               0.000397
                     99,                 3.1764,                 1.8673,                0.92252,                0.45439,                0.36111,                0.24232,                 0.0523,                 3.3498,                 1.4715,                0.95306,               0.000298,               0.000298,               0.000298
